index,budget_category,name,genre1,rating,country_code,nominations,accolades,decade,runtime,months,profit,score,budget,nature_profit,genre2,female_count,genre3
4853,3,Chaplin,biography,pg-13,GBR,0.479910163329905,6.0,1990,143.0,Jan,0.04931507962856299,7.5,17.24949776244942,-1,comedy,1.0,drama
4854,1,The Lawnmower Man,horror,r,GBR,0.20419798661717445,0.0,1990,108.0,Mar,0.06506691630648341,5.4,16.11809565095832,1,sci-fi,1.0,nan
4855,1,Orlando,biography,pg-13,GBR,0.550550180466067,0.0,1990,94.0,Jun,0.05758152326273443,7.1,15.201804919084164,1,drama,1.0,fantasy
4856,3,1492: Conquest of Paradise,adventure,pg-13,GBR,0.161823075755491,5.0,1990,154.0,Oct,0.04270411745927282,6.4,17.665658159674333,-1,biography,1.0,drama
4857,1,Split Second,action,r,GBR,0.0,0.0,1990,90.0,May,0.05651688724488392,6.1,15.761420707019587,-1,crime,1.0,horror
4858,1,Peter's Friends,comedy,r,GBR,0.36602106237266546,2.0,1990,101.0,Dec,0.05674363898564003,7.0,15.424948470398375,-1,drama,1.0,romance
4859,3,Christopher Columbus: The Discovery,adventure,pg-13,GBR,0.35320448568276447,9.0,1990,120.0,Aug,0.045615416457783754,4.4,17.50439001207821,-1,biography,0.0,drama
4860,1,Waterland,drama,r,GBR,0.0,3.0,1990,95.0,Oct,0.05386894076720093,6.6,16.11809565095832,-1,mystery,1.0,nan
4861,1,Ruby,biography,r,GBR,0.0,1.0,1990,110.0,Mar,0.054164802912473387,5.5,16.012735135300492,-1,crime,1.0,drama
4862,3,Super Mario Bros.,adventure,pg,GBR,0.161823075755491,3.0,1990,104.0,May,0.047300279760019916,4.1,17.686711568872166,-1,comedy,0.0,family
4863,2,Much Ado About Nothing,comedy,pg-13,GBR,0.4553034789913517,8.0,1990,111.0,Jul,0.06125553200521035,7.3,16.213405830762646,1,drama,1.0,romance
4864,2,The Secret Garden,drama,g,GBR,0.37781117002131775,0.0,1990,101.0,Aug,0.06184504311276669,7.3,16.70588231586044,1,family,2.0,fantasy
4865,3,The Three Musketeers,action,pg,GBR,0.30629697992576166,0.0,1990,105.0,Nov,0.0657163968345984,6.4,17.216707939626428,1,adventure,0.0,comedy
4866,3,Shadowlands,biography,pg,GBR,0.4959949691147739,12.0,1990,131.0,Jan,0.05847163858611553,7.4,16.90655301132259,1,drama,1.0,romance
4867,2,Romeo Is Bleeding,crime,r,GBR,0.161823075755491,0.0,1990,110.0,Feb,0.054112895517558934,6.6,16.25785759333348,-1,drama,1.0,romance
4868,2,Once Upon a Forest,animation,g,GBR,0.0,0.0,1990,71.0,Jun,0.05476542400357462,6.5,16.38045991542581,-1,adventure,1.0,drama
4869,3,The Thief and the Cobbler,animation,g,GBR,0.0,0.0,1990,90.0,Aug,0.04829500599781079,7.1,17.034386382832476,-1,action,1.0,adventure
4871,1,Four Weddings and a Funeral,comedy,r,GBR,0.6398325970847533,0.0,1990,117.0,Apr,0.1442459185108386,7.1,15.29711509888849,1,drama,1.0,romance
4872,0,Shallow Grave,crime,r,GBR,0.4959949691147739,0.0,1990,89.0,Feb,0.05693183539545908,7.3,14.73180128983843,-1,thriller,1.0,nan
4873,0,The Last Seduction,crime,r,GBR,0.4959949691147739,0.0,1990,110.0,Oct,0.05829111119670293,7.0,14.73180128983843,1,drama,1.0,romance
4874,3,The Hudsucker Proxy,comedy,pg,GBR,0.35320448568276447,0.0,1990,111.0,Mar,0.04365235782385242,7.2,17.50439001207821,-1,drama,1.0,fantasy
4875,4,The Madness of King George,biography,pg-13,GBR,0.584814912162568,0.0,1990,110.0,Dec,0.03878472896123408,7.2,18.00361512939991,-1,comedy,1.0,drama
4876,2,Death and the Maiden,drama,r,GBR,0.2639220690640782,5.0,1990,103.0,Jan,0.05387020430793768,7.3,16.300417207752275,-1,mystery,1.0,thriller
4877,3,Highlander: The Final Dimension,action,pg-13,GBR,0.0,0.0,1990,99.0,Jan,0.0521361279362174,4.4,17.073607095985757,-1,fantasy,1.0,romance
4878,3,Being Human,comedy,pg-13,GBR,0.0,2.0,1990,122.0,May,0.0431838031086585,5.3,17.50439001207821,-1,drama,1.0,nan
4879,4,GoldenEye,action,pg-13,GBR,0.37781117002131775,0.0,1990,130.0,Nov,0.16262946166415976,7.2,17.909855120186375,1,adventure,1.0,thriller
4880,2,Dead Man Walking,crime,r,GBR,0.6257936257335015,3.0,1990,122.0,Feb,0.06732915956930542,7.5,16.213405830762646,1,drama,1.0,nan
4881,3,Rob Roy,adventure,r,GBR,0.33916551433151276,7.0,1990,139.0,Apr,0.058382971836405555,6.9,17.14771506813948,1,biography,1.0,drama
4882,3,The Englishman Who Went Up a Hill But Came Down a Mountain,comedy,pg,GBR,0.0,0.0,1990,99.0,May,0.04621362605718729,6.6,17.529028208553907,-1,drama,1.0,romance
4883,1,Total Eclipse,biography,r,GBR,0.0,3.0,1990,111.0,Nov,0.054316822612210595,6.5,15.89495209964411,-1,drama,1.0,romance
4884,2,A Kid in King Arthur's Court,adventure,pg,GBR,0.0,0.0,1990,89.0,Aug,0.05650818008380354,4.7,16.523560759066484,-1,comedy,0.0,family
4885,1,Angels and Insects,drama,r,GBR,0.30629697992576166,0.0,1990,116.0,Jan,0.05651164669342347,6.8,15.424545789333235,-1,romance,2.0,nan
4886,1,Dr. Jekyll and Ms. Hyde,comedy,pg-13,GBR,0.23706652102292547,0.0,1990,90.0,Aug,0.05519201096091897,4.5,15.89495209964411,-1,romance,2.0,sci-fi
4887,1,An Awfully Big Adventure,comedy,r,GBR,0.161823075755491,0.0,1990,112.0,Jul,0.05573264746030347,5.9,15.201804919084164,-1,drama,1.0,romance
4888,0,Mute Witness,crime,r,GBR,0.33916551433151276,0.0,1990,95.0,Sep,0.05676796557639381,6.7,14.508657738524219,-1,horror,2.0,thriller
4889,3,Beyond Rangoon,action,r,GBR,0.30629697992576166,6.0,1990,100.0,Aug,0.05085273104329925,6.6,16.951004773893423,-1,adventure,2.0,drama
4890,1,Emma,comedy,pg,GBR,0.3887271047105759,0.0,1990,120.0,Aug,0.06294687050219977,6.6,15.60727002719233,1,drama,2.0,romance
4891,2,Hamlet,drama,pg-13,GBR,0.5574024722999389,6.0,1990,242.0,Dec,0.05230486805824252,7.8,16.70588231586044,-1,nan,1.0,nan
4892,3,James and the Giant Peach,animation,pg,GBR,0.4553034789913517,0.0,1990,79.0,Apr,0.05381328031675338,6.7,17.45309671769066,-1,adventure,1.0,family
4893,1,Secrets & Lies,comedy,r,GBR,0.7051865767041782,0.0,1990,136.0,Feb,0.06030478948320266,8.0,15.319587954740548,1,drama,2.0,nan
4894,3,Michael Collins,biography,r,GBR,0.479910163329905,11.0,1990,133.0,Oct,0.052075704464570674,7.1,17.034386382832476,-1,drama,1.0,thriller
