,primaryName,birthYear,deathYear,primaryProfession
499,Richard Linklater,1960,\N,"producer,director,writer"
500,Ray Liotta,1954,\N,"actor,producer,soundtrack"
501,Christopher Lloyd,1938,\N,"actor,soundtrack"
502,Emily Lloyd,1970,\N,actress
503,Amy Locane,1971,\N,"actress,soundtrack"
504,Nia Long,1970,\N,"actress,soundtrack,director"
505,Julia Louis-Dreyfus,1961,\N,"actress,producer,soundtrack"
506,Rob Lowe,1964,\N,"actor,producer,soundtrack"
507,Carey Lowell,1961,\N,actress
509,Andie MacDowell,1958,\N,"actress,producer,soundtrack"
510,Shirley MacLaine,1934,\N,"actress,soundtrack,writer"
511,Elle Macpherson,1964,\N,"producer,actress"
512,William H. Macy,1950,\N,"actor,writer,soundtrack"
513,Michael Madsen,1957,\N,"actor,producer,writer"
514,Virginia Madsen,1961,\N,"actress,producer,soundtrack"
517,John Malkovich,1953,\N,"actor,producer,writer"
520,Sophie Marceau,1966,\N,"actress,director,writer"
522,Julianna Margulies,1966,\N,"actress,producer,soundtrack"
523,Mary Stuart Masterson,1966,\N,"actress,producer,director"
524,Heather Matarazzo,1982,\N,"actress,director,producer"
525,Samantha Mathis,1970,\N,"actress,executive,soundtrack"
526,Walter Matthau,1920,2000,"actor,soundtrack,director"
527,Mathilda May,1965,\N,"actress,miscellaneous,soundtrack"
528,Debi Mazar,1964,\N,"actress,make_up_department,producer"
529,Andrew McCarthy,1962,\N,"actor,director,producer"
530,Frances McDormand,1957,\N,"actress,producer,soundtrack"
531,Malcolm McDowell,1943,\N,"actor,producer,soundtrack"
533,Kelly McGillis,1957,\N,"actress,producer,soundtrack"
534,Rose McGowan,1973,\N,"actress,soundtrack,producer"
536,Steve McQueen,1930,1980,"actor,producer,soundtrack"
537,Colm Meaney,1953,\N,"actor,producer,soundtrack"
538,Dina Meyer,1968,\N,"actress,producer"
540,Bette Midler,1945,\N,"soundtrack,actress,producer"
541,Penelope Ann Miller,1964,\N,"actress,soundtrack"
544,Helen Mirren,1945,\N,"actress,director,producer"
545,Matthew Modine,1959,\N,"actor,producer,director"
